sent0,sent1,hard_neg,source
"Source: Businessman with mobile phone opens hologram hud interface and touches word - buying; Edit instruction: replace the word ""teachers"" with ""buying""",Businessman with mobile phone opens hologram hud interface and touches word - teachers,Businessman with mobile phone opens hologram hud interface and touches word - buying,webvid_covr_multimodal
Source: Street sign the way to tolerance; Edit instruction: Make the sign a way to participation,Street sign the way to participation,Street sign the way to tolerance,webvid_covr_multimodal
A man is putting up a poster in front of a shop.,A man is decorating a shop.,The man is taking down the poster.,nli_base
A child is standing on a walkway with the sun to her back.,A child standing with the sun behind her.,The child is sitting on a bench.,nli_base
"And this much larger, much less extensive, probably less reliable data base had to be analyzed and reported in a much shorter time than that of fairly",This inferior database had to be sorted through in a much shorter time.,This larger and more extensive database has already been analyzed and reported on.,nli_base
Source: Close up of purple wildflower; Edit instruction: make them flowers,Close up of purple flowers,Close up of purple wildflower,webvid_covr_multimodal
Two French pirate ships first ravaged the village in 1528.,The village was ravaged by pirates in 1528.,The village was never penetrated by pirates.,nli_negation
Source: Business plan; Edit instruction: Rewrite it as a discussion,Business discussion,Business plan,webvid_covr_multimodal
Source: Colorful flowers; Edit instruction: Change to thistle flowers,Thistle flowers,Colorful flowers,webvid_covr_multimodal
Source: Pouring water in a glass; Edit instruction: make it water,Moving water in a glass,Pouring water in a glass,webvid_covr_multimodal
Source: Text motion from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white; Edit instruction: replace with a gate,Text gate from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white,Text motion from letters of different colors appears behind small squares. then disappears. alpha channel premultiplied - matted with color white,webvid_covr_multimodal
but he's really happy he went there,Thought he is glad he did go there.,His deepest regret is going there.,nli_base
A lady standing outside a street with a red purse and scarf on.,The lady is outside.,The lady is nude.,nli_base
A man is lighting a smoke outside of a building.,Someone is lighting a smoke outside of a building.,A woman is lighting a smoke outside of a building.,nli_base
Source: Fishing on the river; Edit instruction: make the scene into a boat on the river,Boat on the river,Fishing on the river,webvid_covr_multimodal
And the heart trouble? ,What about the heart issues?,So a clean bill of health.,nli_base
Source: Wild swan; Edit instruction: turn into boars,Wild boars,Wild swan,webvid_covr_multimodal
Source: Water machine; Edit instruction: turn it into a water surface,Water surface,Water machine,webvid_covr_multimodal
Two men sitting in chairs while waiting.,More than one person is seated on pieces of furniture.,The men are standing in line.,nli_base
"Source: Behind the squares appears the symbol mars. in - out. alpha channel premultiplied - matted with color rgb (8,132,164); Edit instruction: make a scroll","Behind the squares appears the symbol scroll. in - out. alpha channel premultiplied - matted with color rgb (8,132,164)","Behind the squares appears the symbol mars. in - out. alpha channel premultiplied - matted with color rgb (8,132,164)",webvid_covr_multimodal
Source: Young couple; Edit instruction: Make them colleagues,Young colleagues,Young couple,webvid_covr_multimodal
Source: Kids drawing white screen with theme of hanger; Edit instruction: change the theme to octopus,Kids drawing white screen with theme of octopus,Kids drawing white screen with theme of hanger,webvid_covr_multimodal
Source: Statue in the garden; Edit instruction: turn it into a fountain,Fountain in the garden,Statue in the garden,webvid_covr_multimodal
Source: Water turtles; Edit instruction: make it a water stream,Water stream,Water turtles,webvid_covr_multimodal
An aging man with a skull and crossbones bandanna holds a camera while standing next to a woman in a yellow shirt and beige hat.,There is a man.,The man is young.,nli_base
Source: Cooking eggs; Edit instruction: make dessert,Cooking desserts,Cooking eggs,webvid_covr_multimodal
A man is standing underneath a large bell.,A man stands under a bell.,A man stands on a bell.,nli_base
A man stands new a saw with a white mailbox in the foreground.,The man is standing by the mailbox.,The man is sleeping in his postal truck.,nli_base
Source: Bahama road; Edit instruction: replace it with a coast road,Coast road,Bahama road,webvid_covr_multimodal
He missed Anda.,He missed them.,He totally forgot her name already.,nli_base
know to stay in the game i guess yeah,"I guess,know to stay in the game.",KNow to stay in the police force.,nli_base
Source: Fountain in show; Edit instruction: remove the fountain,Fountain in city,Fountain in show,webvid_covr_multimodal
Source: Butterfly on flower; Edit instruction: turn the butterfly into ants,Ants on flower,Butterfly on flower,webvid_covr_multimodal
Source: Smiling black woman; Edit instruction: make her,Smiling asian woman,Smiling black woman,webvid_covr_multimodal
An Indian man is in a hospital getting help from a nurse while a woman watches.,A woman watches a nurse help an Indian man in the hospital.,The nurse is enjoying her night off at home.,nli_base
Source: Neon flickering green country name hawaii in the haze. alpha channel premultiplied - matted with color black; Edit instruction: Make it Moldova,Neon flickering green country name moldova in the haze. alpha channel premultiplied - matted with color black,Neon flickering green country name hawaii in the haze. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
A worker turns on towards the phone on the sink,A worker is turning on the phone,A worker turns off towards the phone on the sink,ego4d_temporal
A woman in a graduation gown hugs a girl in a pink and white dress.,A woman graduating from school is hugging another person.,Two guys are hugging it out on a lawn.,nli_base
Source: Animated dollar sign blue 3d icon loop modules for edit with alpha matte; Edit instruction: Make it silver,Animated dollar sign silver 3d icon loop modules for edit with alpha matte,Animated dollar sign blue 3d icon loop modules for edit with alpha matte,webvid_covr_multimodal
Source: Yellow bamboo; Edit instruction: replace with tulips,Yellow tulips,Yellow bamboo,webvid_covr_multimodal
Source: Light switch; Edit instruction: add some light effects,Light effects,Light switch,webvid_covr_multimodal
A child picks up a box of nylon,A child picks up a box from a table,A child puts down a box of nylon,ego4d_temporal
Source: Violet flowers sway in the wind; Edit instruction: have them grow,Growing flowers sway in the wind,Violet flowers sway in the wind,webvid_covr_multimodal
The lady is looking at the coins in her hand in a grocery store.,The lady is at the grocery store.,A man takes out 20 dollar bills.,nli_base
A group of people drumming while sitting in a circle at a gym.,Seated people keeping a rythmic beat,A crowd outdoors painting a house for Habitat for Humanity,nli_base
a lot of those places are like you know the one over here on seventy eight Skaggs that little Kinder Care whatever it is,A lot of those places are similar to that one.,"Most of those places are nothing like the one over here,",nli_negation
Skier jumping off the edge of a snowy cliff.,The skier is in the air.,The skier is sitting on the edge of the cliff.,nli_base
That instinctive sense is the best guide we have to economic policy in every sphere.,"The best guide we have to economic policy in every sphere, is that instinctive sense.",How much people like our proposals-- that is the best guide we have to economic policy in every sphere,nli_base
An old woman wearing a rainbow scarf searches her purse.,A woman is looking in her purse.,A woman is looking inside her grocery bag.,nli_base
A boy opens the gate,A boy opens a gate to the compound,A boy closes the gate,ego4d_temporal
San'doro looked at the man and then at Jon.,San'doro saw both of the men.,San'doro was blind.,nli_base
A silhouette of a child and sprinkler,The sprinkler and child have a silhouette,The sprinkler and child are sleeping,nli_base
A rider on a blue motorcycle in traffic wearing a helmet.,The rider is wearing something on his head.,The rider is sitting on a red motorcycle.,nli_base
Source: Hand on the table; Edit instruction: make the food into a hand,Food on the table,Hand on the table,webvid_covr_multimodal
"Source: The appearance of the green neon symbol cannabis. flicker, in - out. alpha channel premultiplied - matted with color black; Edit instruction: make it a beer bottle","The appearance of the green neon symbol beer. flicker, in - out. alpha channel premultiplied - matted with color black","The appearance of the green neon symbol cannabis. flicker, in - out. alpha channel premultiplied - matted with color black",webvid_covr_multimodal
A child picks up a tool container from the work bench,A child picks up the tool and walks forward,A child puts down a tool container from the work bench,ego4d_temporal
Source: From the glitch effect arises text fashion. then the tv turns off. alpha channel premultiplied - matted with color black; Edit instruction: make it answer,From the glitch effect arises text answer. then the tv turns off. alpha channel premultiplied - matted with color black,From the glitch effect arises text fashion. then the tv turns off. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
A man is flipping someone off.,A man is displaying his middle finger at someone.,A man is hugging someone.,nli_base
Source: Trees in the forest; Edit instruction: Make it a water,Cascade in the forest,Trees in the forest,webvid_covr_multimodal
Source: Open sea; Edit instruction: make it an open road,open road,Open sea,webvid_covr_multimodal
A woman plugs the charger from the laptop,A woman is plugging a charger on the socket,A woman unplugs the charger from the laptop,ego4d_temporal
Bird's eye view of a city worker walking on the street.,A worker is outside.,A child goes to school.,nli_base
Source: Meadow at sunset; Edit instruction: make it look like,Reeds at sunset,Meadow at sunset,webvid_covr_multimodal
Source: Light beams; Edit instruction: make the light beam into a light wall,Light wall,Light beams,webvid_covr_multimodal
Source: Chopping meat; Edit instruction: cook it in a crock,Roast meat,Chopping meat,webvid_covr_multimodal
Source: Stars snow; Edit instruction: make the stars confetti,Stars confetti,Stars snow,webvid_covr_multimodal
Source: Fountain pond; Edit instruction: make it an italian fountain,Fountain italy,Fountain pond,webvid_covr_multimodal
but when you're only at living wage it doesn't matter,It's not important when you're only at a living wage.,It matters a lot when you're at living wage.,nli_base
A man is throwing his young son up into the air on the beach.,A man is at the beach.,A woman is drinking coffee.,nli_base
"Participants agreed that reliability is fundamental to useful business reporting; however, participants felt that financial reporting would be much more useful if it were expanded to include key performance indicators and measures (including disclosures on how the key measures were chosen).",The participants stated that business reporting need both expansion and reliability.,There was no consensus among participants about how business reporting works.,nli_negation
Source: Holly in the forest; Edit instruction: make it so the viewer is in the forest,Way in the forest,Holly in the forest,webvid_covr_multimodal
Source: Mountains in turkey; Edit instruction: Make the people,Divers in turkey,Mountains in turkey,webvid_covr_multimodal
Source: Writing or sketching a word free; Edit instruction: or in as many languages as possible,Writing or sketching a word languages,Writing or sketching a word free,webvid_covr_multimodal
Two male security officers are restraining another man by the shoulders and arms.,Two men are restraining another man.,Two female security officers are restraining a man by the shoulders and legs.,nli_base
"People are in line at a white tablecloth-covered buffet, serving themselves food.",There are people at the restaraunt.,The people are about to buy tickets to a movie.,nli_base
A group of friends are waiting in line.,A bunch of people are waiting in line.,A small group of people are dancing in a club.,nli_base
Men covered in a reddish mess play chess.,A few men play chess.,The men are playing checkers.,nli_base
out of your out of your house,Outside of your home.,Inside your home.,nli_base
"Source: Canal in venice, italy; Edit instruction: make it a sunrise","Sunrise in venice, italy","Canal in venice, italy",webvid_covr_multimodal
Source: The video shows jackpot word built of wooden blocks; Edit instruction: replace the word with a swot,The video shows swot word built of wooden blocks,The video shows jackpot word built of wooden blocks,webvid_covr_multimodal
"The Mus??e de la Pr??histoire (10 Place de la Chapelle) exhibits artifacts representative of local life during the Paleolithic, Neolithic, Bronze, Iron, and Roman ages.","The Musee de la Prehistoire is located at number 10, Place de la Chapelle.","10, Place de la Chapelle is the address of a bakery.",nli_base
A man has one hand on a bike seat while he adjusts the seat height.,The man is adjusting the bike,The man is sitting in a movie theater,nli_base
Source: Earth camera zoom from sky to the greece country map; Edit instruction: From greece to egypt,Earth camera zoom from sky to the egypt country map,Earth camera zoom from sky to the greece country map,webvid_covr_multimodal
"A crowd of people stand next to a number nine, either getting on or getting off.",A crowd of people are waiting.,A group of people are attending a rock concert.,nli_base
Three children riding on a large swing.,three people on a swing,three kids sleeping,nli_base
Source: Blue connectivity; Edit instruction: make it smoke,Blue smoke,Blue connectivity,webvid_covr_multimodal
A girl inserts wire through a gadget,A girl is inserting the wire into the object,A girl removes wire through a gadget,ego4d_temporal
Source: Neon flickering green text rate in the haze. alpha channel premultiplied - matted with color black; Edit instruction: join on a single plane,Neon flickering green text join in the haze. alpha channel premultiplied - matted with color black,Neon flickering green text rate in the haze. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
A lone man sitting on rocks and fishing.,A man is fishing alone.,A man is fishing with friends.,nli_base
The Clean Air Act Amendments (CAAA) Section 812 Prospective Study of Costs and Benefits (1999): Advisory by the Advisory Council on Clean Air Compliance  Costs and Benefits of the CAAA.,The Clean Air Act Amendments (CAAA) Costs and Benefits: Advisory Council.,The Clean Air Act Amendments (CAAA) Costs and Benefits not included: Advisory Council.,nli_negation
"How come, they ask, did we wind up with an increase that was larger than that proposed by the USPS, when almost everyone else got a break?",They wanted to know how we ended up with a large increase.,USPS proposed that there should be decreases.,nli_base
Source: From the glitch effect arises pen symbol. then the tv turns off. alpha channel premultiplied - matted with color black; Edit instruction: make dizzy symbol,From the glitch effect arises dizzy symbol. then the tv turns off. alpha channel premultiplied - matted with color black,From the glitch effect arises pen symbol. then the tv turns off. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
"Proposed  vertical flight only, to a maximum of 20 feet above the ground.",The maximum altitude for the flight is 20 feet above the ground.,The proposed vertical flight is said to reach heights of 50 feet above the ground.,nli_base
A middle-aged man working at a food preparation facility,A working person.,A young man eating a hamburger.,nli_base
A snowboarder flies through the air on a red snowboard in front of a snowy landscape.,A snowboarder is flying in the air,A snowboarder is sleep.,nli_base
"Tunku Abdul Rahman, the first prime minister, reversed his party's anti-Chinese policy by offering Singapore a place in the Federation.",The first prime minister gave Singapore the chance to join the Federation.,Singapore offered the first prime minister a spot in its federation.,nli_base
Source: Golden wheat farm; Edit instruction: make it look like wheat grains instead of wheat farm,Golden wheat grains,Golden wheat farm,webvid_covr_multimodal
Source: Female ovary; Edit instruction: Make her a doctor,Female doctor,Female ovary,webvid_covr_multimodal
A group of men are planting a tree.,There are some people and a plant.,The children are chopping down a tree.,nli_base
"Jon drew his rapier and twisted, the sharp tip of the sword piercing through the assassin's armor.",Jon had a rapier.,Jon was unarmed.,nli_base
Source: Sunrise in forest; Edit instruction: change to icy forest,Sunrise in iceland,Sunrise in forest,webvid_covr_multimodal
Source: Love hearts; Edit instruction: make them more like Valentine,Valentine hearts,Love hearts,webvid_covr_multimodal
Source: Earth grid; Edit instruction: make it a vector,Earth vector,Earth grid,webvid_covr_multimodal
Two girls and a man were peeling corn.,Three humans peel corn.,Two girls and a man were peeling after spending the whole day in the sun without sunscreen.,nli_negation
Source: Country name liberia multi-colored appear then disappear under the lightning strikes changing color. alpha channel premultiplied - matted with color black; Edit instruction: Change the country name to Turkey,Country name turkey multi-colored appear then disappear under the lightning strikes changing color. alpha channel premultiplied - matted with color black,Country name liberia multi-colored appear then disappear under the lightning strikes changing color. alpha channel premultiplied - matted with color black,webvid_covr_multimodal
A man inserts the wire in the axle hub,A man inserts wire in bottle,A man removes the wire from the axle hub,ego4d_temporal
Source: Street sign the way to partner; Edit instruction: Make the sign a photo of a couple,Street sign the way to togetherness,Street sign the way to partner,webvid_covr_multimodal
Source: Big waterfall in the forest; Edit instruction: make it beautiful,Beautiful waterfall in the forest,Big waterfall in the forest,webvid_covr_multimodal
Source: Trash on the beach; Edit instruction: the trash is part of a fun game,Playing on the beach,Trash on the beach,webvid_covr_multimodal
Dark silhouette of woman sitting in a suspended acrobatic ring near trees.,The woman is sitting outside.,The women is climbing a tree.,nli_base
Source: Landscape with wood and beautiful color sky in sunset time; Edit instruction: Change to cane,Landscape with cane and beautiful color sky in sunset time,Landscape with wood and beautiful color sky in sunset time,webvid_covr_multimodal
investigations according to standards established by the President's Council on Integrity and Efficiency (PCIE) as adapted for GAO's work.,The President's Council on Integrity and Efficiency establishes the standards.,The President's Council on Integrity and Efficiency revises the standards.,nli_base
Two scantily-clad women on a city sidewalk.,The two women are outside,The two women are wearing long dresses,nli_base
Source: Old home; Edit instruction: turn the house into a vineyard,Old vineyard,Old home,webvid_covr_multimodal
A group of people take a look at an unusual tree.,group of people outdoors looking at a tree,group of people sitting beside a campfire,nli_base
"It's more scary than funny, especially to the brain tumor guy when he finds out that his chief surgeon is Raquel Welch.",It is scary to have Raquel Welch as your surgeon.,It is not scary to have Raquel Welch as your surgeon.,nli_negation
"Or does life, in general, figure out the trick of using oxygen and growing big and brawny?",Is there a trick of using oxygen that life has figured out?,The use of carbon dioxide and growing small and skinny are just some of the qualities of the human body.,nli_base
Source: Fresh sausage; Edit instruction: replace the sausage with fish,Fresh fish,Fresh sausage,webvid_covr_multimodal
"A male child jumping off a ledge, he has a backpack on his back and a toy airplane in his left hand.",A child has a toy.,A boy holding a large box stands in a room.,nli_base
Source: Wild animals; Edit instruction: make the animal a buffalo,Wild buffalo,Wild animals,webvid_covr_multimodal
A bearded fisherman mends his net.,A man has a beard.,A man is fixing his fishing pole.,nli_base
"The huge royal palace of Fontainebleau is an elegant monument to the Renaissance tastes of Francois I and Henri IV, although subsequent monarchs added on and generally refurbished.",Fontainebleau captures the style enjoyed by Francois I and Henri IV.,The Renaissance tastes of Obama and Bush were the motivation for elegant monuments.,nli_base
A woman picks up cloth from the seat,A woman is picking up a cloth from the box,A woman puts down cloth from the seat,ego4d_temporal
Source: Cat close up; Edit instruction: Make it a lizard,"Lizard, close up",Cat close up,webvid_covr_multimodal
Source: Park in thailand; Edit instruction: make it a mountain,Mountain in thailand,Park in thailand,webvid_covr_multimodal
Whittington and Boris were walking up and down by the bookstall.,Boris and Whittington paced side by side.,Whittington and Boris trotted off in different directions.,nli_base
Source: Hibiscus flower close up; Edit instruction: make it a field of poppies,Poppies flower close up,Hibiscus flower close up,webvid_covr_multimodal
"A woman with long blond-hair, wearing a mid-length coat, black heeled shoes is looking in the window of the Au Levain D'antan shop.",A woman looks into the window of a shop.,The woman is driving on the highway.,nli_base
Source: Bedouin boat; Edit instruction: make it a fish,Fisher boat,Bedouin boat,webvid_covr_multimodal
"Across the world, an 18 th century war shrine in the Japanese town of Nara once contained the ears of 20,000 Koreans.",There is a war shrine in Nara.,Koreans were treated well by the Japanese.,nli_base
Source: Wedding rings on a tree; Edit instruction: make them on a pill,Wedding rings on a pillow,Wedding rings on a tree,webvid_covr_multimodal
A young kid plays on an old wooden playground.,a kid is playing,a kid is indoors,nli_base
Source: Cut wood; Edit instruction: The wood should be beech,Beech wood,Cut wood,webvid_covr_multimodal
A marching band wearing blue and black dances on the street.,There is a marching band on the street.,The marching band is sitting on the ground to rest.,nli_base
"Finally John Cavendish, finding his persuasions of no avail, went off to look up the trains. ","In the end, John Cavendish gave up with the persuading and went to look up trains.","John Cavendish kept on persuading, until they accepted.",nli_base
Source: Sunrise and sea; Edit instruction: The sky should be added,Sky and sea,Sunrise and sea,webvid_covr_multimodal
"Source: The appearance of the green neon symbol skating. flicker, in - out. alpha channel premultiplied - matted with color black; Edit instruction: make it burn","The appearance of the green neon symbol burn. flicker, in - out. alpha channel premultiplied - matted with color black","The appearance of the green neon symbol skating. flicker, in - out. alpha channel premultiplied - matted with color black",webvid_covr_multimodal
